,X.G1.1.1.19.,LC1.3,X.G4.2.7.1.,X.G4.3.1.6.,LC1.2,X.G4.1.5.3.,pssm129,pssm181,pssm184,X.G4.3.5.3.,pssm86,pssm188,pssm124,X.G4.3.3.4.,pssm91,X.G4.2.5.3.,X.G4.3.3.11.,X.G1.1.1.16.,X.G4.1.7.3.,S6,pssm224,pssm164,X.G1.1.1.17.,pssm133,X.G4.3.1.9.,LC7.1,LC2.3,X.G4.2.3.2.,X.G1.1.1.4.,pssm69,pssm11,pssm126,pssm186,pssm83,pssm384,pssm261,pssm73,X.G4.1.5.2.,pssm81,pssm182,pssm44,pssm264,X.G4.3.3.7.,pssm226,LC1.1,X.G4.3.7.10.,X.G4.3.1.11.,pssm306,pssm139,pssm6,pssm85,pssm381,pssm201,pssm386,pssm89,pssm39,X.G4.3.5.12.,X.G4.2.1.2.,pssm40,LC7.2,pssm183,pssm59
12,3,0,1,2,4,1,1,1,2,4,2,1,2,0,2,1,2,1,1,0,1,1,3,1,2,4,2,1,0,1,1,1,1,2,2,1,0,2,2,1,2,1,0,1,1,4,2,2,1,2,2,1,1,1,2,1,2,2,1,1,1,1
13,2,1,0,1,3,3,1,1,3,4,2,1,2,1,1,2,4,2,3,0,2,2,4,2,1,4,2,1,2,1,1,0,0,2,3,1,1,1,3,1,2,3,0,0,1,4,4,2,1,1,2,1,1,0,2,2,1,1,1,1,1,1
14,2,0,0,1,4,0,1,2,2,4,2,2,2,1,2,0,3,3,4,0,1,2,4,2,1,4,3,0,0,2,0,1,0,2,2,1,2,3,3,1,2,2,1,0,1,4,3,1,1,2,2,2,2,0,2,2,0,0,2,1,1,1
15,3,0,0,3,4,1,1,2,2,4,2,1,2,3,2,0,3,3,3,0,2,2,4,1,1,4,3,0,0,2,1,1,1,2,2,2,1,3,3,1,2,2,1,1,1,4,3,2,1,1,3,2,2,0,2,2,0,0,1,1,1,1
16,3,0,0,1,4,1,1,1,2,4,2,1,2,1,2,1,2,3,2,0,2,1,4,1,0,4,3,0,1,2,1,1,1,3,3,2,2,3,3,2,2,2,1,0,1,3,2,2,1,1,3,2,1,0,2,1,3,0,2,1,1,0
17,3,0,1,1,4,0,2,1,2,3,2,1,1,1,2,1,4,3,3,1,1,1,3,1,0,4,3,2,1,2,1,1,1,2,2,1,1,4,2,3,2,1,0,1,0,3,4,2,2,2,2,1,2,2,2,2,0,2,2,0,1,1
18,4,1,1,0,3,0,0,0,0,3,1,0,1,0,1,0,4,1,4,2,1,1,4,0,0,4,2,3,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0,0,2,4,4,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0
19,3,1,2,0,3,1,0,0,0,1,1,0,1,0,1,2,4,3,4,2,1,1,1,0,0,1,2,4,2,0,0,0,0,1,0,0,0,4,1,1,1,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,4,1,4,0,0
20,3,0,1,0,4,0,1,1,2,4,2,1,2,0,2,0,4,2,2,1,2,1,3,1,0,4,3,2,0,2,1,2,1,2,2,1,2,4,3,2,2,2,0,1,0,3,4,2,2,2,3,2,2,1,2,2,1,2,2,0,1,1
21,3,0,1,1,4,3,1,2,3,4,2,2,2,2,2,3,4,3,2,0,1,2,4,1,2,4,3,0,3,2,1,1,1,2,2,1,1,1,2,2,3,2,2,1,0,3,4,2,2,1,2,2,2,1,3,2,1,1,2,1,0,2
